fecha;Linea;Cantidad
1/10/2023;MARROQUINERIA;4056
1/10/2023;PANTALON;48870
1/10/2023;PANTALONES DE MODA;2910
1/10/2023;ROPA INTERIOR;1696
1/10/2023;SOBRETODO;9340
1/10/2023;PRODUCTOS DE MODA;614
1/11/2023;ACCESORIOS;5518
1/11/2023;BLUSA;39725
1/11/2023;CALZADO;2
1/11/2023;CAMISETA;80368
1/11/2023;CORTOS;16053
1/11/2023;DEPORTIVO;1
1/11/2023;MARROQUINERIA;4548
1/11/2023;PANTALON;83776
1/11/2023;PANTALONES DE MODA;7700
1/11/2023;ROPA INTERIOR;2126
1/11/2023;SOBRETODO;14319
1/11/2023;PRODUCTOS DE MODA;757
1/12/2023;ACCESORIOS;12972
1/12/2023;BLUSA;76394
1/12/2023;CAMISETA;192002
1/12/2023;CORTOS;34725
1/12/2023;DEPORTIVO;1
1/12/2023;MARROQUINERIA;6374
1/12/2023;PANTALON;166805
1/12/2023;PANTALONES DE MODA;10814
1/12/2023;ROPA INTERIOR;4307
1/12/2023;SOBRETODO;21181
1/12/2023;PRODUCTOS DE MODA;2430
1/01/2024;ACCESORIOS;4467
1/01/2024;BLUSA;15412
1/01/2024;CAMISETA;44182
1/01/2024;CORTOS;8108
1/01/2024;MARROQUINERIA;1957
1/01/2024;PANTALON;34995
1/01/2024;PANTALONES DE MODA;2826
1/01/2024;PRODUCTOS DE MODA;571
1/01/2024;ROPA INTERIOR;1632
1/01/2024;SOBRETODO;5337
1/02/2024;ACCESORIOS;4564
1/02/2024;BLUSA;16567
1/02/2024;CAMISETA;48338
1/02/2024;CORTOS;9159
1/02/2024;MARROQUINERIA;2501
1/02/2024;PANTALON;37118
1/02/2024;PANTALONES DE MODA;2092
1/02/2024;PRODUCTOS DE MODA;522
1/02/2024;ROPA INTERIOR;1658
1/02/2024;SOBRETODO;6853
1/02/2024;PRODUCTOS DE MODA;40
1/03/2024;ACCESORIOS;4904
1/03/2024;BLUSA;19673
1/03/2024;CAMISETA;44581
1/03/2024;CORTOS;10814
1/03/2024;MARROQUINERIA;2170
1/03/2024;PANTALON;39716
1/03/2024;PANTALONES DE MODA;3396
1/03/2024;ROPA INTERIOR;2087
1/03/2024;SOBRETODO;6501
1/03/2024;PRODUCTOS DE MODA;1476
1/04/2024;ACCESORIOS;4910
1/04/2024;BLUSA;20065
1/04/2024;CAMISETA;41615
1/04/2024;CORTOS;7931
1/04/2024;MARROQUINERIA;4113
1/04/2024;PANTALON;44426
1/04/2024;PANTALONES DE MODA;4298
1/04/2024;ROPA INTERIOR;2310
1/04/2024;SOBRETODO;6485
1/04/2024;PRODUCTOS DE MODA;1740
1/05/2024;ACCESORIOS;6746
1/05/2024;BLUSA;26006
1/05/2024;CAMISETA;58575
1/05/2024;CORTOS;9695
1/05/2024;MARROQUINERIA;6523
1/05/2024;PANTALON;73966
1/05/2024;PANTALONES DE MODA;4257
1/05/2024;ROPA INTERIOR;2431
1/05/2024;SOBRETODO;7489
1/05/2024;PRODUCTOS DE MODA;1436
1/06/2024;ACCESORIOS;5350
1/06/2024;BLUSA;22082
1/06/2024;CAMISETA;56908
1/06/2024;CORTOS;13997
1/06/2024;MARROQUINERIA;4168
1/06/2024;PANTALON;52018
1/06/2024;PANTALONES DE MODA;4095
1/06/2024;ROPA INTERIOR;2179
1/06/2024;SOBRETODO;6948
1/06/2024;PRODUCTOS DE MODA;1647
1/07/2024;ACCESORIOS;4866
1/07/2024;BLUSA;22798
1/07/2024;CAMISETA;64764
1/07/2024;CORTOS;12427
1/07/2024;MARROQUINERIA;4338
1/07/2024;PANTALON;65412
1/07/2024;PANTALONES DE MODA;4541
1/07/2024;ROPA INTERIOR;2096
1/07/2024;SOBRETODO;6899
1/07/2024;PRODUCTOS DE MODA;2436
1/08/2024;ACCESORIOS;4797
1/08/2024;BLUSA;20646
1/08/2024;CAMISETA;57705
1/08/2024;CORTOS;10377
1/08/2024;MARROQUINERIA;4194
1/08/2024;PANTALON;54009
1/08/2024;PANTALONES DE MODA;3849
1/08/2024;ROPA INTERIOR;2045
1/08/2024;SOBRETODO;5492
1/08/2024;PRODUCTOS DE MODA;1399
1/09/2024;ACCESORIOS;5880
1/09/2024;BLUSA;19765
1/09/2024;CAMISETA;63090
1/09/2024;CORTOS;10577
1/09/2024;MARROQUINERIA;5065
1/09/2024;PANTALON;55990
1/09/2024;PANTALONES DE MODA;3117
1/09/2024;ROPA INTERIOR;1884
1/09/2024;SOBRETODO;5087
1/09/2024;PRODUCTOS DE MODA;1286
1/10/2024;ACCESORIOS;5525
1/10/2024;BLUSA;24024
1/10/2024;CAMISETA;65284
1/10/2024;CORTOS;9736
1/10/2024;MARROQUINERIA;5830
1/10/2024;PANTALON;62497
1/10/2024;PANTALONES DE MODA;2559
1/10/2024;ROPA INTERIOR;1665
1/10/2024;SOBRETODO;6817
1/10/2024;PRODUCTOS DE MODA;1322
1/11/2024;ACCESORIOS;6660
1/11/2024;BLUSA;35777
1/11/2024;CAMISETA;97275
1/11/2024;CORTOS;14751
1/11/2024;MARROQUINERIA;7735
1/11/2024;PANTALON;115910
1/11/2024;PANTALONES DE MODA;6172
1/11/2024;ROPA INTERIOR;1775
1/11/2024;SOBRETODO;11586
1/11/2024;PRODUCTOS DE MODA;2442
1/12/2024;ACCESORIOS;10319
1/12/2024;BLUSA;65178
1/12/2024;CALZADO;34
1/12/2024;CAMISETA;197827
1/12/2024;CORTOS;35896
1/12/2024;MARROQUINERIA;10131
1/12/2024;PANTALON;196328
1/12/2024;PANTALONES DE MODA;15908
