fecha,Linea,Cantidad_Pronosticada,Limite_Inferior,Limite_Superior,Modelo,MAPE_Backtest,Ajuste_Venta_Perdida_Pct,Venta_Perdida_Estimada,Gap_Regional_Sismo,Factor_Sismo
2027-08-01,CALZADO,2580,2435,2725,TopDown HW add-add,0.3466,0.046,120,0.0414,0.9875
2027-08-01,CAMISETA,35576,33570,37580,TopDown HW add-add,0.1143,0.046,1654,0.0414,0.9893
2027-08-01,COMPLEMENTOS,436,411,461,TopDown HW add-add,0.5517,0.046,20,0.0414,0.9904
2027-08-01,CORTOS,12821,12098,13544,TopDown HW add-add,0.098,0.046,596,0.0414,0.9902
2027-08-01,DEPORTIVOS,269,253,284,TopDown HW add-add,1.9623,0.046,12,0.0414,1.0
2027-08-01,JEANS,22275,21020,23531,TopDown HW add-add,0.1166,0.046,1035,0.0414,0.9899
2027-08-01,PANTALONES,8047,7594,8500,TopDown HW add-add,0.306,0.046,375,0.0414,0.9884
2027-08-01,PRENDAS DE MODA,4979,4698,5260,TopDown HW add-add,0.4538,0.046,232,0.0414,0.9888
2027-08-01,ROPA INTERIOR,3903,3684,4123,TopDown HW add-add,0.2416,0.046,182,0.0414,0.9881
2027-08-01,SOBRETODOS,5149,4859,5440,TopDown HW add-add,0.1745,0.046,240,0.0414,0.9874
2027-08-01,TEJIDO,813,767,859,TopDown HW add-add,1.5638,0.046,38,0.0414,0.9873
2027-08-01,TOP-BODY,14283,13478,15087,TopDown HW add-add,0.1107,0.046,665,0.0414,0.9886
