fecha;Linea;Cantidad
01/12/2024;ROPA INTERIOR;1976
01/04/2024;SOBRETODOS;6423
01/05/2024;SOBRETODOS;7258
01/01/2024;SOBRETODOS;5137
01/07/2024;SOBRETODOS;6723
01/03/2024;SOBRETODOS;6734
01/02/2024;SOBRETODOS;6204
01/11/2024;SOBRETODOS;9735
01/09/2024;SOBRETODOS;4872
01/08/2024;SOBRETODOS;5546
01/12/2024;SOBRETODOS;18632
01/06/2024;SOBRETODOS;7102
01/10/2024;SOBRETODOS;5433
01/01/2024;TEJIDO;3984
01/07/2024;TEJIDO;3421
01/08/2024;TEJIDO;3051
01/09/2024;TEJIDO;2573
01/04/2024;TEJIDO;1395
01/11/2024;TEJIDO;7660
01/02/2024;TEJIDO;1854
01/10/2024;TEJIDO;4542
01/06/2024;TEJIDO;4561
01/03/2024;TEJIDO;1256
01/05/2024;TEJIDO;5619
01/12/2024;TEJIDO;9513
01/11/2024;TOP-BODY;34631
01/01/2024;TOP-BODY;12827
01/05/2024;TOP-BODY;20521
01/07/2024;TOP-BODY;23495
01/08/2024;TOP-BODY;21216
01/03/2024;TOP-BODY;19199
01/12/2024;TOP-BODY;74233
01/10/2024;TOP-BODY;24553
01/04/2024;TOP-BODY;19997
01/06/2024;TOP-BODY;22485
01/09/2024;TOP-BODY;21598
01/02/2024;TOP-BODY;17846
01/05/2025;ACCESORIOS;4882
01/02/2025;ACCESORIOS;5007
01/10/2025;ACCESORIOS;5245
01/12/2025;ACCESORIOS;17165
01/01/2025;ACCESORIOS;4812
01/06/2025;ACCESORIOS;4997
01/03/2025;ACCESORIOS;4787
01/07/2025;ACCESORIOS;6652
01/11/2025;ACCESORIOS;11898
01/04/2025;ACCESORIOS;4525
01/08/2025;ACCESORIOS;5934
01/09/2025;ACCESORIOS;6506
01/04/2025;BEAUTY;3622
01/01/2025;BEAUTY;2590
01/03/2025;BEAUTY;3495
01/11/2025;BEAUTY;7052
01/07/2025;BEAUTY;7495
01/09/2025;BEAUTY;5161
01/06/2025;BEAUTY;3934
01/10/2025;BEAUTY;4599
01/08/2025;BEAUTY;4103
01/02/2025;BEAUTY;2783
01/12/2025;BEAUTY;10407
01/05/2025;BEAUTY;5004
01/12/2025;BLUSA-CAMISA;68496
01/05/2025;BLUSA-CAMISA;27087
01/01/2025;BLUSA-CAMISA;13419
01/10/2025;BLUSA-CAMISA;21048
01/07/2025;BLUSA-CAMISA;24256
01/04/2025;BLUSA-CAMISA;19282
01/09/2025;BLUSA-CAMISA;19902
01/02/2025;BLUSA-CAMISA;17181
01/03/2025;BLUSA-CAMISA;17658
01/08/2025;BLUSA-CAMISA;20407
01/06/2025;BLUSA-CAMISA;22402
01/11/2025;BLUSA-CAMISA;35866
01/12/2025;CAMISETA;128310
01/05/2025;CAMISETA;51299
01/06/2025;CAMISETA;43301
01/02/2025;CAMISETA;36950
01/04/2025;CAMISETA;39260
01/01/2025;CAMISETA;36123
01/08/2025;CAMISETA;40021
01/11/2025;CAMISETA;58743
01/03/2025;CAMISETA;40588
01/10/2025;CAMISETA;39209
01/09/2025;CAMISETA;43919
01/07/2025;CAMISETA;52246
01/07/2025;COMPLEMENTOS;60
01/02/2025;COMPLEMENTOS;301
01/10/2025;COMPLEMENTOS;14
01/04/2025;COMPLEMENTOS;139
01/05/2025;COMPLEMENTOS;59
01/03/2025;COMPLEMENTOS;169
01/11/2025;COMPLEMENTOS;95
01/01/2025;COMPLEMENTOS;220
01/12/2025;COMPLEMENTOS;496
01/08/2025;COMPLEMENTOS;17
01/09/2025;COMPLEMENTOS;26
01/06/2025;COMPLEMENTOS;27
01/11/2025;CORTOS;14273
01/06/2025;CORTOS;12582
01/01/2025;CORTOS;9392
01/02/2025;CORTOS;9205
01/12/2025;CORTOS;32487
01/09/2025;CORTOS;9386
01/03/2025;CORTOS;9056
01/10/2025;CORTOS;8878
01/08/2025;CORTOS;9227
01/04/2025;CORTOS;9439
01/07/2025;CORTOS;13529
01/05/2025;CORTOS;10571
01/03/2025;DEPORTIVOS;34
01/01/2025;DEPORTIVOS;21
01/11/2025;DEPORTIVOS;10
01/12/2025;DEPORTIVOS;17
01/04/2025;DEPORTIVOS;27
01/06/2025;DEPORTIVOS;24
01/09/2025;DEPORTIVOS;12
01/02/2025;DEPORTIVOS;55
01/08/2025;DEPORTIVOS;22
01/07/2025;DEPORTIVOS;35
01/10/2025;DEPORTIVOS;15
01/05/2025;DEPORTIVOS;23
01/01/2025;JEANS;39032
01/05/2025;JEANS;75914
01/06/2025;JEANS;47924
01/12/2025;JEANS;184020
01/10/2025;JEANS;51700
01/08/2025;JEANS;50108
01/02/2025;JEANS;40319
01/03/2025;JEANS;45278
01/07/2025;JEANS;53122
01/11/2025;JEANS;94706
01/04/2025;JEANS;41625
01/09/2025;JEANS;51676
01/11/2025;PANTALONES;17187
01/02/2025;PANTALONES;6781
01/04/2025;PANTALONES;8525
01/12/2025;PANTALONES;31591
01/03/2025;PANTALONES;6025
01/05/2025;PANTALONES;10663
01/10/2025;PANTALONES;9639
01/01/2025;PANTALONES;5943
01/08/2025;PANTALONES;10781
01/07/2025;PANTALONES;15514
01/09/2025;PANTALONES;10486
01/06/2025;PANTALONES;8761
01/01/2025;PRENDAS DE MODA;3882
01/11/2025;PRENDAS DE MODA;7289
01/08/2025;PRENDAS DE MODA;5025
01/07/2025;PRENDAS DE MODA;5523
01/02/2025;PRENDAS DE MODA;4274
01/06/2025;PRENDAS DE MODA;4284
01/12/2025;PRENDAS DE MODA;12060
01/04/2025;PRENDAS DE MODA;3658
01/03/2025;PRENDAS DE MODA;4027
01/05/2025;PRENDAS DE MODA;5591
01/09/2025;PRENDAS DE MODA;5281
01/10/2025;PRENDAS DE MODA;4683
01/05/2025;ROPA INTERIOR;228
01/10/2025;ROPA INTERIOR;71
01/12/2025;ROPA INTERIOR;82
01/04/2025;ROPA INTERIOR;199
01/09/2025;ROPA INTERIOR;119
01/06/2025;ROPA INTERIOR;220
01/01/2025;ROPA INTERIOR;455
01/08/2025;ROPA INTERIOR;133
01/07/2025;ROPA INTERIOR;247
01/03/2025;ROPA INTERIOR;365
01/02/2025;ROPA INTERIOR;429
01/11/2025;ROPA INTERIOR;66
01/01/2025;SOBRETODOS;5863
01/12/2025;SOBRETODOS;24561
01/07/2025;SOBRETODOS;7658
01/10/2025;SOBRETODOS;10933
01/03/2025;SOBRETODOS;8069
01/06/2025;SOBRETODOS;7552
01/04/2025;SOBRETODOS;6986
01/02/2025;SOBRETODOS;7020
01/08/2025;SOBRETODOS;6936
01/11/2025;SOBRETODOS;15720
01/09/2025;SOBRETODOS;9766
01/05/2025;SOBRETODOS;11880
01/08/2025;TEJIDO;3084
01/06/2025;TEJIDO;2374
01/05/2025;TEJIDO;2417
01/09/2025;TEJIDO;2667
01/07/2025;TEJIDO;2412
01/02/2025;TEJIDO;1255
01/03/2025;TEJIDO;2137
01/11/2025;TEJIDO;4903
01/04/2025;TEJIDO;2593
01/12/2025;TEJIDO;6377
01/10/2025;TEJIDO;2126
01/01/2025;TEJIDO;1275
01/02/2025;TOP-BODY;16722
01/03/2025;TOP-BODY;19205
01/09/2025;TOP-BODY;20898
01/11/2025;TOP-BODY;30932
01/05/2025;TOP-BODY;19620
01/07/2025;TOP-BODY;25798
01/04/2025;TOP-BODY;16952
01/12/2025;TOP-BODY;58701
01/06/2025;TOP-BODY;19787
01/08/2025;TOP-BODY;19646
01/01/2025;TOP-BODY;18426
01/10/2025;TOP-BODY;18305
01/03/2026;ACCESORIOS;8449
01/01/2026;ACCESORIOS;5954
01/02/2026;ACCESORIOS;6435
01/06/2026;ACCESORIOS;5548
01/05/2026;ACCESORIOS;9206
01/04/2026;ACCESORIOS;10021
01/03/2026;BEAUTY;6636
01/01/2026;BEAUTY;4303
01/02/2026;BEAUTY;5652
01/04/2026;BEAUTY;6156
01/05/2026;BEAUTY;6966
01/06/2026;BEAUTY;2982
01/02/2026;BLUSA-CAMISA;16241
01/06/2026;BLUSA-CAMISA;10963
01/03/2026;BLUSA-CAMISA;18541
01/05/2026;BLUSA-CAMISA;26210
01/01/2026;BLUSA-CAMISA;15501
01/04/2026;BLUSA-CAMISA;15799
01/05/2026;CAMISETA;61788
01/04/2026;CAMISETA;45835
01/06/2026;CAMISETA;29913
01/03/2026;CAMISETA;49481
01/01/2026;CAMISETA;37522
01/02/2026;CAMISETA;37941
01/02/2026;COMPLEMENTOS;247
01/04/2026;COMPLEMENTOS;86
01/03/2026;COMPLEMENTOS;167
01/06/2026;COMPLEMENTOS;19
01/05/2026;COMPLEMENTOS;66
01/01/2026;COMPLEMENTOS;244
01/03/2026;CORTOS;11660
01/01/2026;CORTOS;9606
01/05/2026;CORTOS;14738
01/02/2026;CORTOS;10300
01/04/2026;CORTOS;11500
01/06/2026;CORTOS;8712
01/03/2026;DEPORTIVOS;3
01/02/2026;DEPORTIVOS;1
01/05/2026;DEPORTIVOS;6
01/01/2026;DEPORTIVOS;3
01/04/2026;JEANS;44743
01/05/2026;JEANS;81716
01/01/2026;JEANS;35872
01/06/2026;JEANS;31790
01/03/2026;JEANS;49925
01/02/2026;JEANS;43473
01/06/2026;PANTALONES;5107
01/05/2026;PANTALONES;15013
01/04/2026;PANTALONES;10569
01/01/2026;PANTALONES;7960
01/03/2026;PANTALONES;11054
01/02/2026;PANTALONES;10292
01/03/2026;PRENDAS DE MODA;2523
01/05/2026;PRENDAS DE MODA;3352
01/01/2026;PRENDAS DE MODA;2345
01/02/2026;PRENDAS DE MODA;1916
01/04/2026;PRENDAS DE MODA;2754
01/06/2026;PRENDAS DE MODA;1547
01/05/2026;ROPA INTERIOR;11
01/04/2026;ROPA INTERIOR;15
01/03/2026;ROPA INTERIOR;36
01/02/2026;ROPA INTERIOR;16
01/06/2026;ROPA INTERIOR;1
01/01/2026;ROPA INTERIOR;24
01/02/2026;SOBRETODOS;8039
01/05/2026;SOBRETODOS;10321
01/06/2026;SOBRETODOS;3799
01/03/2026;SOBRETODOS;7256
01/04/2026;SOBRETODOS;7121
01/01/2026;SOBRETODOS;6299
01/05/2026;TEJIDO;737
01/02/2026;TEJIDO;1307
01/06/2026;TEJIDO;244
01/03/2026;TEJIDO;1035
01/04/2026;TEJIDO;981
01/01/2026;TEJIDO;829
01/01/2026;TOP-BODY;13517
01/05/2026;TOP-BODY;20039
01/02/2026;TOP-BODY;13221
01/06/2026;TOP-BODY;9922
01/04/2026;TOP-BODY;15969
01/03/2026;TOP-BODY;16537
