fecha;Linea;Cantidad
01/10/2022;SOBRETODO;7823
01/10/2022;CALZADO;4162
01/10/2022;DEPORTIVO;2365
01/10/2022;PANTALONES DE MODA;6932
01/10/2022;ACCESORIOS;8811
01/10/2022;PRODUCTOS DE MODA;3171
01/10/2022;ROPA INTERIOR;7539
01/10/2022;MARROQUINERIA;4555
01/11/2022;PANTALON;60846
01/11/2022;CAMISETA;87592
01/11/2022;BLUSA;16058
01/11/2022;CORTOS;21251
01/11/2022;SOBRETODO;15415
01/11/2022;CALZADO;8679
01/11/2022;DEPORTIVO;3395
01/11/2022;PANTALONES DE MODA;12290
01/11/2022;ACCESORIOS;13585
01/11/2022;PRODUCTOS DE MODA;7015
01/11/2022;ROPA INTERIOR;10193
01/11/2022;MARROQUINERIA;5889
01/12/2022;PANTALON;125270
01/12/2022;CAMISETA;173545
01/12/2022;BLUSA;36010
01/12/2022;CORTOS;42801
01/12/2022;SOBRETODO;23266
01/12/2022;CALZADO;14468
01/12/2022;DEPORTIVO;2794
01/12/2022;PANTALONES DE MODA;23539
01/12/2022;ACCESORIOS;27085
01/12/2022;PRODUCTOS DE MODA;15334
01/12/2022;ROPA INTERIOR;18938
01/12/2022;MARROQUINERIA;13684
01/01/2023;PANTALON;11487
01/01/2023;CAMISETA;19550
01/01/2023;BLUSA;3670
01/01/2023;CORTOS;4358
01/01/2023;SOBRETODO;3636
01/01/2023;CALZADO;1485
01/01/2023;DEPORTIVO;655
01/01/2023;PANTALONES DE MODA;5271
01/01/2023;ACCESORIOS;4444
01/01/2023;PRODUCTOS DE MODA;1524
01/01/2023;ROPA INTERIOR;3180
01/01/2023;MARROQUINERIA;2219
01/02/2023;PANTALON;8167
01/02/2023;CAMISETA;20065
01/02/2023;BLUSA;2484
01/02/2023;CORTOS;3468
01/02/2023;SOBRETODO;2840
01/02/2023;CALZADO;1533
01/02/2023;DEPORTIVO;470
01/02/2023;PANTALONES DE MODA;4856
01/02/2023;ACCESORIOS;5787
01/02/2023;PRODUCTOS DE MODA;961
01/02/2023;ROPA INTERIOR;3715
01/02/2023;MARROQUINERIA;2183
01/03/2023;PANTALON;14839
01/03/2023;CAMISETA;26009
01/03/2023;BLUSA;4170
01/03/2023;CORTOS;4447
01/03/2023;SOBRETODO;4385
01/03/2023;CALZADO;2179
01/03/2023;DEPORTIVO;492
